aa_objects.object_number,aa_tracks.track_num,aa_detections.image_file,aa_detections.mid_det_utc,aa_detections.mid_det_et,aa_detections.ra,aa_detections.dec,aa_detections.ra_sig,aa_detections.dec_sig,aa_detections.mag,aa_detections.mag_sig,aa_detections.snr,aa_detections.psf_fit_quality,aa_detections.is_saturated,aa_detections.q_code,aa_detections.possible_hot_pixel,aa_detections.possible_star,aa_detections.occulting
3,28,20190120T053334S827_ncm_L0.fits,2019-01-20T05:33:37.327Z,601234486.511466,21.996531800507796,-37.289357825941,0.00251008225566742,0.00185825059610085,4.35261928477114,0.103111707855437,14.251165011350098,0.99033872409147,0,5,0,0,0
3,28,20190120T052619S233_ncm_L0.fits,2019-01-20T05:26:21.733Z,601234050.917465,23.978919059587998,-37.685920235507005,0.00252392558342988,0.00216941795846782,4.3588682949687305,0.101342448331546,14.717173446281599,0.606830402027936,0,5,0,0,0
3,28,20190120T050334S802_ncm_L0.fits,2019-01-20T05:03:37.302Z,601232686.486465,30.5959026903276,-39.2982454870293,0.0022184564165531996,0.00164489465184839,4.105298027730489,0.0913935341404754,18.287418973101097,0.712277119282903,0,5,0,0,0
3,29,20190120T032619S255_ncm_L0.fits,2019-01-20T03:26:21.755Z,601226850.939463,62.6502160513619,-57.6670999775483,0.00228419484581157,0.00125083042442411,3.72241416539943,0.0847943872058859,22.3395502919641,0.646896966373848,0,4,0,0,0
3,29,20190120T030334S812_ncm_L0.fits,2019-01-20T03:03:37.312Z,601225486.496463,68.2074803763993,-64.72085919003509,0.00364246006390427,0.00152620641597237,3.76825537557402,0.0889409392058036,19.555486927844,0.737620788596026,0,5,0,0,0
3,29,20190120T025618S906_ncm_L0.fits,2019-01-20T02:56:21.406Z,601225050.590463,69.3213839868138,-66.88992004247851,0.00327318426324299,0.00134744254711638,3.6159847881698894,0.08676757551236951,20.892469606677498,2.02867685803468,0,5,0,0,0
3,29,20190120T023335S057_ncm_L0.fits,2019-01-20T02:33:37.557Z,601223686.741462,70.06671956923489,-72.8675217744833,0.00601436764558803,0.0017755670103650801,3.86031749978376,0.0945246290132696,16.9418077825547,0.789484493693149,0,5,0,0,0
3,29,20190120T022619S029_ncm_L0.fits,2019-01-20T02:26:21.529Z,601223250.713462,69.1036112309999,-74.41436227556589,0.0059702618126712,0.00162214912330582,3.89157328223609,0.09388788017826381,17.1948264782678,1.4866393599381897,0,5,0,0,0
3,29,20190120T015619S176_ncm_L0.fits,2019-01-20T01:56:21.676Z,601221450.860461,59.0739571302609,-78.48679510260921,0.008979183324979441,0.0017608637384097302,4.04044837467138,0.0976069777821091,15.8382729537883,1.34175431348465,0,5,0,0,0
3,29,20190120T012618S820_ncm_L0.fits,2019-01-20T01:26:21.320Z,601219650.504461,46.249912582307395,-78.92084613316,0.0101291497380457,0.00174664804091807,4.19227521110797,0.102516024057033,14.403971058127299,0.971947652366278,0,5,0,0,0
3,29,20190120T005618S975_ncm_L0.fits,2019-01-20T00:56:21.475Z,601217850.65946,41.5036083236918,-77.0481120469021,0.00938711988098164,0.0017974187393665201,4.19765689619526,0.10068411613370401,14.9003745068255,0.8882096416837271,0,5,0,0,0
3,29,20190120T003334S856_ncm_L0.fits,2019-01-20T00:33:37.356Z,601216486.54046,43.3009617018791,-74.87712324602249,0.0067668948496588804,0.00169606560408056,4.158585584153379,0.0976844127708918,15.812848745596598,1.21077469906769,0,5,0,0,0
3,10,20190120T222618S735_ncm_L0.fits,2019-01-20T22:26:21.235Z,601295250.419485,304.804131606347,36.1304631629304,0.00404021010391724,0.00336829042341305,4.44105171686998,0.143563048221162,8.642231783720089,2.58145551749327,0,4,0,0,0
3,10,20190120T220334S988_ncm_L0.fits,2019-01-20T22:03:37.488Z,601293886.672485,306.034478780964,31.6168287015552,0.0038747511333115502,0.00317242995038101,4.6960541404362,0.146151637858122,8.44393706626216,1.49314602449106,0,4,0,0,0
3,10,20190120T215618S913_ncm_L0.fits,2019-01-20T21:56:21.413Z,601293450.597484,306.744269913492,30.401431090996198,0.0044296971307058,0.00375517186099275,4.66854432452972,0.14802928273052,8.30631325903159,1.86375179057961,0,2,0,1,0
3,10,20190120T213335S170_ncm_L0.fits,2019-01-20T21:33:37.670Z,601292086.854484,309.56895863095406,27.173529820408298,0.0038004497175645204,0.00376870803877847,4.75951257785056,0.15503726071477902,7.833648403281809,1.2997916102404798,0,4,0,0,0
3,10,20190120T212618S798_ncm_L0.fits,2019-01-20T21:26:21.298Z,601291650.482484,310.57948313368803,26.315812930481396,0.00602520689847485,0.00491471028736451,5.111373146174779,0.210126599119241,5.47488744044703,1.5410525743152899,0,4,0,0,0
3,10,20190120T210334S977_ncm_L0.fits,2019-01-20T21:03:37.477Z,601290286.661484,313.965391354615,24.0194536003952,0.0057561672419646995,0.00543207888026714,5.2060727110346,0.244900332509667,4.62322271070886,1.2204385099520598,0,4,0,0,0
3,29,20190120T000335S043_ncm_L0.fits,2019-01-20T00:03:37.543Z,601214686.727459,49.6616006831734,-71.3908121416799,0.00590364658682637,0.0018405027033607502,4.12339819592499,0.0976989957256723,15.808072165391799,0.7540844378539461,0,5,0,0,0
3,29,20190119T233334S889_ncm_L0.fits,2019-01-19T23:33:37.389Z,601212886.573459,58.4751811629346,-67.2911629359706,0.0045738915358239,0.0017529400476112601,4.13861138723271,0.09754309961278079,15.859323343354399,0.811059172303871,0,5,0,0,0
3,29,20190119T230335S368_ncm_L0.fits,2019-01-19T23:03:37.868Z,601211087.052458,68.5286903151975,-62.5772923622845,0.00382660903234265,0.00166750428044453,4.00830092544782,0.0978512717579844,15.758409878869298,1.05625138292306,0,5,0,0,0
3,29,20190119T223335S246_ncm_L0.fits,2019-01-19T22:33:37.746Z,601209286.930458,79.29110899577019,-57.271736177809004,0.00326619922746349,0.00172812482442631,3.94435054265948,0.0962792174000452,16.2908050584584,1.2004134231058399,0,5,0,0,0
3,29,20190119T222618S890_ncm_L0.fits,2019-01-19T22:26:21.390Z,601208850.574457,81.94743395096259,-55.9107340670467,0.0034223820779455704,0.0016636872881389802,4.1469425661067305,0.0942066548074732,17.0669653921629,0.771365287785407,0,5,0,0,0
3,29,20190119T220335S111_ncm_L0.fits,2019-01-19T22:03:37.611Z,601207486.795457,90.48494059311079,-51.533711665746694,0.0022768094581218,0.00142790482430589,3.8757068975211997,0.0863266423648614,21.194118820905498,0.391222341630473,0,5,0,0,0
3,33,20190119T100334S849_ncm_L0.fits,2019-01-19T10:03:37.349Z,601164286.533443,183.32729950115402,5.0366723398166595,0.0040710935647464705,0.00442044997125406,4.83362700344154,0.21485181111034102,5.34023680802256,1.57503721009783,0,4,0,0,0
3,33,20190119T095619S017_ncm_L0.fits,2019-01-19T09:56:21.517Z,601163850.701443,184.288629075441,5.07792608974488,0.00332183427052273,0.00379629528472728,4.692309672857419,0.16378445457834998,7.32025207029918,1.42297612604197,0,4,0,0,0
3,33,20190119T093334S989_ncm_L0.fits,2019-01-19T09:33:37.489Z,601162486.673442,187.017344594704,5.4379214880707,0.00249630521041347,0.0023976511256917,4.49613196598555,0.12049959926885,11.0281528497048,0.994555798374686,0,5,0,0,0
3,33,20190119T092619S207_ncm_L0.fits,2019-01-19T09:26:21.707Z,601162050.891442,187.773195065639,5.61684293430864,0.00231686584793132,0.00262663986352158,4.509565329216859,0.119362524262995,11.1866771631575,1.31726116114063,0,5,0,0,0
3,33,20190119T085619S108_ncm_L0.fits,2019-01-19T08:56:21.608Z,601160250.792442,190.21256340861,6.97405680396397,0.0021168198486582004,0.00233371587637987,4.44698710539018,0.11159525543065901,12.433103794089199,0.740261474854399,0,5,0,0,0
3,33,20190119T082619S251_ncm_L0.fits,2019-01-19T08:26:21.751Z,601158450.935441,191.181877650253,9.617864444328479,0.00175674755343278,0.0019827860618573,4.18825653820481,0.101015336285894,14.807501791123698,1.2708514885850002,0,5,0,0,0
3,33,20190119T080334S926_ncm_L0.fits,2019-01-19T08:03:37.426Z,601157086.610441,190.622623696658,12.777275779091001,0.0020513236443678103,0.002053929936204,4.03521660543842,0.104733368184572,13.854548461374899,1.92151008315375,0,5,0,0,0
3,33,20190119T075619S012_ncm_L0.fits,2019-01-19T07:56:21.512Z,601156650.696441,190.153628674368,13.995714104529599,0.0019710840296500902,0.00214555181946094,3.95560081532604,0.106711108059468,13.4056212551315,2.18307129820916,0,5,0,0,0
3,33,20190119T065618S985_ncm_L0.fits,2019-01-19T06:56:21.485Z,601153050.669439,181.51183803636204,26.704198197727496,0.0017347684142977801,0.00162185795997407,3.67574419453027,0.0907822273749978,18.583357166481,1.3225641341953398,0,5,0,0,1
3,33,20190119T063334S582_ncm_L0.fits,2019-01-19T06:33:37.082Z,601151686.266439,177.522439848305,30.885477845701498,0.00136662427698277,0.00120805392378894,3.7614894860473296,0.0825754501770516,24.334441255510697,1.0071292809903198,0,5,0,0,1
3,33,20190119T062619S265_ncm_L0.fits,2019-01-19T06:26:21.765Z,601151250.949439,176.43779598475,31.9299348049614,0.00139368298615034,0.00112190341362925,3.7696136737797294,0.0818941739859256,25.049676552422298,0.9627975753617899,0,5,0,0,0
3,32,20190119T043334S616_ncm_L0.fits,2019-01-19T04:33:37.116Z,601144486.300436,179.52899631039404,35.647358045854,0.0027045626701909,0.00226274403034455,4.54064985814613,0.110158027516345,12.701370328519399,0.7770108331559731,0,5,0,0,0
3,32,20190119T042619S092_ncm_L0.fits,2019-01-19T04:26:21.592Z,601144050.776436,180.549815676967,35.488510921373795,0.0029257292679438903,0.0023030631883886802,4.597306967153489,0.11198997659587201,12.3617737348757,0.537261836455531,0,5,0,0,0
3,32,20190119T040334S865_ncm_L0.fits,2019-01-19T04:03:37.365Z,601142686.549436,183.982817123096,34.976515530971,0.00320154151001745,0.0027345339759178903,4.6732555876009005,0.126686067565628,10.249194977023599,0.850435760188953,0,4,0,0,0
3,32,20190119T035619S243_ncm_L0.fits,2019-01-19T03:56:21.743Z,601142250.927436,185.118928837011,34.7919604706324,0.00388384255079981,0.00309684377623387,4.799465454247669,0.13827465915511997,9.08170152914407,0.845844911428533,0,4,0,0,0
3,32,20190119T023334S775_ncm_L0.fits,2019-01-19T02:33:37.275Z,601137286.459434,198.937440442662,33.212450270282794,0.00594822270291179,0.006135347846746871,4.75214851675718,0.218638703791596,5.23724850899592,2.98128952216039,0,4,0,0,0
3,32,20190119T022619S251_ncm_L0.fits,2019-01-19T02:26:21.751Z,601136850.935434,200.181594160641,33.137729685263004,0.0073125616164658,0.006523687857962631,4.96562633818109,0.258993028899196,4.3515379026425896,3.03209291754351,0,3,0,0,0
3,32,20190119T020335S027_ncm_L0.fits,2019-01-19T02:03:37.527Z,601135486.711434,204.169598480698,33.1013031177272,0.0048543862874030706,0.004813102963259741,4.813119686379039,0.183030497751146,6.41181007199659,2.2564410343906998,0,4,0,0,0
3,32,20190119T015618S910_ncm_L0.fits,2019-01-19T01:56:21.410Z,601135050.594433,205.448523850943,33.1305708942727,0.006640582753336651,0.0050277545873850206,4.98018112809301,0.20866256852967,5.51807279591688,0.865991404360478,0,4,0,0,0
3,32,20190119T013335S139_ncm_L0.fits,2019-01-19T01:33:37.639Z,601133686.823433,209.533409627039,33.4544124202055,0.00398135125777729,0.0034806945953198202,4.9008398805703,0.161633833910371,7.439555083457229,1.23765083044417,0,4,0,0,0
3,32,20190119T012618S951_ncm_L0.fits,2019-01-19T01:26:21.451Z,601133250.635433,210.844197975464,33.620677961921004,0.00432311014700704,0.0038618369740154304,4.850813880960129,0.154167813346126,7.88904979838772,1.66293826211649,0,4,0,0,0
3,32,20190119T010334S888_ncm_L0.fits,2019-01-19T01:03:37.388Z,601131886.572433,215.050557549237,34.4733466567239,0.00385041887038789,0.00298042651570186,4.855775265746109,0.144691819854881,8.55449974817878,0.8877328635924151,0,4,0,0,0
3,32,20190119T005618S759_ncm_L0.fits,2019-01-19T00:56:21.259Z,601131450.443433,216.400109442578,34.843913771677,0.0036946534768199503,0.00335289677329908,4.76807267406409,0.140555647167751,8.88612922453027,0.9196495674033239,0,4,0,0,0
